og,level,nm,description,COG_categories,OG_ID
COG0057,2,7556,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity,G,COG0057@2
COG0059,2,3890,ketol-acid reductoisomerase activity,EH,COG0059@2
COG0058,2,3896,glycogen phosphorylase activity,G,COG0058@2
COG0060,2,4605,isoleucyl-tRNA aminoacylation,J,COG0060@2
COG0062,2,3486,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",G,COG0062@2
COG0063,2,4110,ADP-dependent NAD(P)H-hydrate dehydratase activity,H,COG0063@2
COG0064,2,3680,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),J,COG0064@2
COG0068,2,1352,protein carbamoylation,O,COG0068@2
COG0061,2,5069,"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP",H,COG0061@2
COG0065,2,4446,3-isopropylmalate dehydratase activity,E,COG0065@2
COG0066,2,4386,3-isopropylmalate dehydratase activity,E,COG0066@2
COG0067,2,3532,L-glutamate biosynthetic process,E,COG0067@2
COG0069,2,5454,glutamate synthase activity,E,COG0069@2
COG0070,2,3127,L-glutamate biosynthetic process,E,COG0070@2
COG0071,2,7059,Belongs to the small heat shock protein (HSP20) family,O,COG0071@2
COG0072,2,4503,phenylalanine-tRNA ligase activity,J,COG0072@2
COG0076,2,3597,glutamate decarboxylase activity,E,COG0076@2
COG0074,2,4160,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",C,COG0074@2
COG0073,2,6688,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation,J,COG0073@2
COG0075,2,3564,2-aminoethylphosphonate-pyruvate transaminase activity,E,COG0075@2
COG0077,2,4139,Prephenate dehydratase,E,COG0077@2
COG0078,2,4915,Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline,E,COG0078@2
COG0080,2,4470,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors,J,COG0080@2
COG0081,2,4463,regulation of translation,J,COG0081@2
COG0082,2,4284,chorismate synthase activity,E,COG0082@2
COG0083,2,2497,homoserine kinase activity,E,COG0083@2
COG0079,2,8859,Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily,E,COG0079@2
COG0084,2,6550,"hydrolase, TatD family'",L,COG0084@2
COG0085,2,4596,DNA-directed 5'-3' RNA polymerase activity,K,COG0085@2
COG0086,2,4838,DNA-directed 5'-3' RNA polymerase activity,K,COG0086@2
COG0087,2,4455,rRNA binding,J,COG0087@2
COG0088,2,4507,Forms part of the polypeptide exit tunnel,J,COG0088@2
COG0089,2,4442,rRNA binding,J,COG0089@2
COG0091,2,4456,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",J,COG0091@2
COG0090,2,4456,rRNA binding,J,COG0090@2
COG0092,2,4452,"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation",J,COG0092@2
COG0093,2,4452,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,J,COG0093@2
COG0095,2,2996,Lipoate-protein ligase,H,COG0095@2
COG0094,2,4466,tRNA binding,J,COG0094@2
COG0096,2,4451,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",J,COG0096@2
COG0097,2,4454,rRNA binding,J,COG0097@2
COG0098,2,4452,rRNA binding,J,COG0098@2
COG0099,2,5126,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",J,COG0099@2
COG0101,2,4831,tRNA pseudouridine synthase activity,J,COG0101@2
COG0100,2,4444,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",J,COG0100@2
COG0102,2,4449,mRNA binding,J,COG0102@2
COG0103,2,4604,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",J,COG0103@2
COG0104,2,4573,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP,F,COG0104@2
COG0105,2,3810,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate",F,COG0105@2
COG0106,2,3892,1-(5-phosphoribosyl)-5- 5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase,E,COG0106@2
COG0107,2,3968,imidazoleglycerol-phosphate synthase activity,E,COG0107@2
COG0109,2,3065,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,O,COG0109@2
COG0108,2,4549,"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate",H,COG0108@2
COG0113,2,3647,porphobilinogen synthase activity,H,COG0113@2
COG0112,2,5515,glycine hydroxymethyltransferase activity,E,COG0112@2
COG0110,2,11099,O-acyltransferase activity,S,COG0110@2
COG0111,2,10526,4-phosphoerythronate dehydrogenase activity,EH,COG0111@2
COG0116,2,2942,23S rRNA (guanine(2445)-N(2))-methyltransferase activity,L,COG0116@2
COG0114,2,3249,fumarate hydratase activity,C,COG0114@2
COG0117,2,3937,diaminohydroxyphosphoribosylaminopyrimidine deaminase activity,H,COG0117@2
COG0115,2,9951,branched-chain-amino-acid transaminase activity,E,COG0115@2
COG0118,2,3839,glutamine metabolic process,E,COG0118@2
COG0121,2,2144,cellular modified histidine biosynthetic process,S,COG0121@2
COG0120,2,2458,Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate,G,COG0120@2
COG0122,2,3611,3-methyladenine DNA glycosylase 8-oxoguanine DNA glycosylase,L,COG0122@2
COG0123,2,3843,including yeast histone deacetylase and acetoin utilization protein,BQ,COG0123@2
COG0124,2,4947,histidine-tRNA ligase activity,J,COG0124@2
COG0119,2,10587,Belongs to the alpha-IPM synthase homocitrate synthase family,E,COG0119@2
COG0125,2,4623,dTDP biosynthetic process,F,COG0125@2
COG0126,2,4559,phosphoglycerate kinase activity,F,COG0126@2
COG0127,2,4549,nucleoside triphosphate catabolic process,F,COG0127@2
COG0128,2,4503,3-phosphoshikimate 1-carboxyvinyltransferase activity,E,COG0128@2
COG0129,2,7393,dihydroxy-acid dehydratase activity,EG,COG0129@2
COG0130,2,4431,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,J,COG0130@2
COG0131,2,3679,imidazoleglycerol-phosphate dehydratase activity,E,COG0131@2
COG0132,2,2727,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",H,COG0132@2
COG0133,2,4314,tryptophan synthase activity,E,COG0133@2
COG0134,2,3867,indole-3-glycerol-phosphate synthase activity,E,COG0134@2
COG0135,2,3460,phosphoribosylanthranilate isomerase activity,E,COG0135@2
COG0136,2,5054,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate,E,COG0136@2
COG0137,2,4034,argininosuccinate synthase activity,E,COG0137@2
COG0138,2,4572,bifunctional purine biosynthesis protein purh,F,COG0138@2
COG0139,2,3760,phosphoribosyl-AMP cyclohydrolase activity,E,COG0139@2
COG0140,2,3903,phosphoribosyl-ATP diphosphatase activity,E,COG0140@2
COG0141,2,4208,histidinol dehydrogenase activity,E,COG0141@2
COG0142,2,10073,isoprenoid biosynthetic process,H,COG0142@2
COG0143,2,4896,methionyl-tRNA aminoacylation,J,COG0143@2
COG0145,2,3077,ligase activity,EQ,COG0145@2
COG0144,2,6267,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA,J,COG0144@2
COG0146,2,2104,ligase activity,EQ,COG0146@2
COG0147,2,7488,"Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia",EH,COG0147@2
COG0148,2,4759,phosphopyruvate hydratase activity,G,COG0148@2
COG0149,2,4949,triose-phosphate isomerase activity,G,COG0149@2
COG0150,2,4257,phosphoribosylformylglycinamidine cyclo-ligase activity,F,COG0150@2
COG0151,2,5413,phosphoribosylamine-glycine ligase activity,F,COG0151@2
COG0152,2,4496,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,F,COG0152@2
COG0153,2,2455,galactokinase activity,G,COG0153@2
COG0154,2,13004,amidase activity,J,COG0154@2
COG0155,2,4020,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family,C,COG0155@2
COG0157,2,3558,quinolinate catabolic process,H,COG0157@2
COG0156,2,6462,8-amino-7-oxononanoate synthase activity,E,COG0156@2
COG0158,2,1730,"fructose 1,6-bisphosphate 1-phosphatase activity",G,COG0158@2
COG0159,2,3882,tryptophan synthase activity,E,COG0159@2
COG0160,2,5700,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,E,COG0160@2
COG0162,2,4690,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr),J,COG0162@2
COG0161,2,6510,adenosylmethionine-8-amino-7-oxononanoate transaminase activity,H,COG0161@2
COG0163,2,2122,prenyltransferase activity,H,COG0163@2
COG0164,2,4409,RNA-DNA hybrid ribonuclease activity,L,COG0164@2
COG0165,2,4303,argininosuccinate lyase activity,E,COG0165@2
COG0166,2,4911,Belongs to the GPI family,G,COG0166@2
COG0167,2,6085,dihydroorotate dehydrogenase activity,F,COG0167@2
COG0168,2,5086,Low-affinity potassium transport system. Interacts with trk system potassium uptake protein TrkA,P,COG0168@2
COG0169,2,5851,shikimate 3-dehydrogenase (NADP+) activity,E,COG0169@2
COG0170,2,423,dolichyl monophosphate biosynthetic process,I,COG0170@2
COG0171,2,4908,NAD+ synthase (glutamine-hydrolyzing) activity,H,COG0171@2
COG0172,2,4966,seryl-tRNA aminoacylation,J,COG0172@2
COG0173,2,4527,aspartate-tRNA(Asn) ligase activity,J,COG0173@2
COG0176,2,5010,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway,G,COG0176@2
COG0174,2,9278,glutamine synthetase,E,COG0174@2
COG0177,2,5877,"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate",L,COG0177@2
COG0175,2,6472,sulfate reduction,EH,COG0175@2
COG0178,2,7464,nucleotide-excision repair,L,COG0178@2
COG0180,2,5001,Tryptophanyl-tRNA synthetase,J,COG0180@2
COG0179,2,9881,Fumarylacetoacetate (FAA) hydrolase,Q,COG0179@2
COG0181,2,3793,hydroxymethylbilane synthase activity,H,COG0181@2
COG0182,2,1730,S-methyl-5-thioribose-1-phosphate isomerase activity,J,COG0182@2
COG0184,2,4440,rRNA binding,J,COG0184@2
COG0185,2,4432,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,J,COG0185@2
COG0186,2,4444,rRNA binding,J,COG0186@2
COG0183,2,19655,Belongs to the thiolase family,I,COG0183@2
COG0190,2,4983,methenyltetrahydrofolate cyclohydrolase activity,F,COG0190@2
COG0188,2,8275,DNA topoisomerase II activity,L,COG0188@2
COG0187,2,8113,DNA topoisomerase II activity,L,COG0187@2
COG0189,2,10002,Glutathione synthase Ribosomal protein S6 modification enzyme (Glutaminyl transferase),HJ,COG0189@2
COG0191,2,5778,fructose-bisphosphate aldolase activity,G,COG0191@2
COG0192,2,4959,methionine adenosyltransferase activity,H,COG0192@2
COG0193,2,4508,aminoacyl-tRNA hydrolase activity,J,COG0193@2
COG0194,2,4747,guanylate kinase activity,F,COG0194@2
COG0195,2,4500,"DNA-templated transcription, termination",K,COG0195@2
COG0196,2,4633,riboflavin kinase activity,H,COG0196@2
COG0197,2,4449,tRNA binding,J,COG0197@2
COG0198,2,4445,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,J,COG0198@2
COG0199,2,4751,"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site",J,COG0199@2
COG0200,2,4450,rRNA binding,J,COG0200@2
COG0201,2,4614,protein transport,U,COG0201@2
COG0202,2,4709,RNA polymerase activity,K,COG0202@2
COG0203,2,4470,mitochondrial genome maintenance,J,COG0203@2
COG0205,2,5324,6-phosphofructokinase activity,G,COG0205@2
COG0206,2,4857,Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity,D,COG0206@2
COG0207,2,3406,"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis",F,COG0207@2
COG0208,2,4931,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,F,COG0208@2
COG0209,2,6238,ribonucleoside-diphosphate reductase activity,F,COG0209@2
COG0204,2,16402,Acyl-transferase,I,COG0204@2
COG0211,2,4437,Belongs to the bacterial ribosomal protein bL27 family,J,COG0211@2
COG0213,2,2502,phosphorylase activity,F,COG0213@2
COG0214,2,1568,pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity,H,COG0214@2
COG0210,2,13314,ATP-dependent DNA helicase activity,L,COG0210@2
COG0212,2,4445,Belongs to the 5-formyltetrahydrofolate cyclo-ligase family,H,COG0212@2
COG0215,2,5318,cysteine-tRNA ligase activity,J,COG0215@2
COG0216,2,4847,translation release factor activity,J,COG0216@2
COG0217,2,4767,transcriptional regulatory protein,K,COG0217@2
COG0218,2,3441,Necessary for normal cell division and for the maintenance of normal septation,D,COG0218@2
COG0219,2,3349,wobble position uridine ribose methylation,J,COG0219@2
COG0220,2,4688,tRNA (guanine-N7-)-methyltransferase activity,J,COG0220@2
COG0221,2,3405,inorganic diphosphatase activity,C,COG0221@2
COG0222,2,4680,mitochondrial gene expression,J,COG0222@2
COG0223,2,6154,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus,J,COG0223@2
COG0224,2,5086,"proton-transporting ATP synthase activity, rotational mechanism",C,COG0224@2
COG0225,2,6049,peptide-methionine (S)-S-oxide reductase activity,O,COG0225@2
COG0227,2,4510,Belongs to the bacterial ribosomal protein bL28 family,J,COG0227@2
COG0228,2,4436,mitochondrial translation,J,COG0228@2
COG0226,2,7648,phosphate ion binding,P,COG0226@2
COG0230,2,3454,Ribosomal protein L34,J,COG0230@2
COG0229,2,4967,peptide-methionine (R)-S-oxide reductase activity,O,COG0229@2
COG0231,2,4960,translation elongation factor activity,J,COG0231@2
COG0232,2,3645,Belongs to the dGTPase family. Type 2 subfamily,F,COG0232@2
COG0233,2,4487,cytoplasmic translational termination,J,COG0233@2
COG0234,2,5327,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,O,COG0234@2
COG0235,2,6891,Class ii aldolase,G,COG0235@2
COG0236,2,11850,Carrier of the growing fatty acid chain in fatty acid biosynthesis,IQ,COG0236@2
COG0237,2,5416,dephospho-CoA kinase activity,H,COG0237@2
COG0238,2,4672,rRNA binding,J,COG0238@2
COG0239,2,4799,"Important for reducing fluoride concentration in the cell, thus reducing its toxicity",D,COG0239@2
COG0240,2,4813,glycerol-3-phosphate dehydrogenase [NAD(P)+] activity,I,COG0240@2
COG0241,2,2808,"D,D-heptose 1,7-bisphosphate phosphatase",E,COG0241@2
COG0242,2,7282,peptide deformylase activity,J,COG0242@2
COG0244,2,4450,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",J,COG0244@2
COG0245,2,3734,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",I,COG0245@2
COG0243,2,11634,molybdopterin cofactor binding,C,COG0243@2
COG0246,2,3298,mannitol metabolic process,G,COG0246@2
COG0247,2,9086,lactate metabolic process,C,COG0247@2
COG0248,2,5570,Ppx GppA phosphatase,FP,COG0248@2
COG0249,2,4996,mismatched DNA binding,L,COG0249@2
COG0250,2,5791,"Participates in transcription elongation, termination and antitermination",K,COG0250@2
COG0252,2,3847,asparaginase activity,EJ,COG0252@2
COG0253,2,4088,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan",E,COG0253@2
COG0254,2,5154,rRNA binding,J,COG0254@2
COG0251,2,14102,oxidation-reduction process,J,COG0251@2
COG0255,2,4349,Belongs to the universal ribosomal protein uL29 family,J,COG0255@2
COG0256,2,4446,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance",J,COG0256@2
COG0257,2,3251,Belongs to the bacterial ribosomal protein bL36 family,J,COG0257@2
COG0259,2,2976,pyridoxamine-phosphate oxidase activity,H,COG0259@2
COG0258,2,5439,nuclease activity,L,COG0258@2
COG0260,2,4585,Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides,E,COG0260@2
COG0261,2,4439,This protein binds to 23S rRNA in the presence of protein L20,J,COG0261@2
COG0262,2,9058,dihydrofolate reductase activity,H,COG0262@2
COG0263,2,3908,glutamate 5-kinase activity,E,COG0263@2
COG0264,2,4514,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,J,COG0264@2
COG0266,2,5587,class I DNA-(apurinic or apyrimidinic site) endonuclease activity,L,COG0266@2
COG0269,2,764,3-dehydro-L-gulonate-6-phosphate decarboxylase activity,G,COG0269@2
COG0265,2,16452,serine-type endopeptidase activity,O,COG0265@2
COG0267,2,4827,Belongs to the bacterial ribosomal protein bL33 family,J,COG0267@2
COG0268,2,4417,rRNA binding,J,COG0268@2
COG0271,2,2187,Belongs to the BolA IbaG family,T,COG0271@2
COG0270,2,4936,DNA (cytosine-5-)-methyltransferase activity,L,COG0270@2
COG0272,2,5492,DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA,L,COG0272@2
COG0274,2,3748,deoxyribose-phosphate aldolase activity,F,COG0274@2
COG0275,2,4792,rRNA processing,J,COG0275@2
COG0276,2,3603,ferrochelatase activity,H,COG0276@2
COG0278,2,1837,protein disulfide oxidoreductase activity,O,COG0278@2
COG0279,2,2428,D-glycero-D-manno-heptose 7-phosphate metabolic process,G,COG0279@2
COG0280,2,5985,phosphate acetyltransferase,C,COG0280@2
COG0277,2,15381,FAD linked oxidase domain protein,C,COG0277@2
COG0281,2,5711,malic enzyme,C,COG0281@2
COG0282,2,4090,acetate kinase activity,F,COG0282@2
COG0283,2,4465,belongs to the cytidylate kinase family. Type 1 subfamily,F,COG0283@2
COG0284,2,4434,orotidine-5'-phosphate decarboxylase activity,F,COG0284@2
COG0285,2,4899,dihydrofolate synthase activity,H,COG0285@2
COG0287,2,4237,prephenate dehydrogenase (NADP+) activity,E,COG0287@2
COG0286,2,7931,site-specific DNA-methyltransferase (adenine-specific) activity,V,COG0286@2
COG0288,2,5629,reversible hydration of carbon dioxide,P,COG0288@2
COG0289,2,4351,4-hydroxy-tetrahydrodipicolinate reductase,E,COG0289@2
COG0290,2,4530,translation initiation factor activity,J,COG0290@2
COG0291,2,4270,Belongs to the bacterial ribosomal protein bL35 family,J,COG0291@2
COG0292,2,4449,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,J,COG0292@2
